,class,x,y,w,h,frameNo
8621,5,0.284722,0.507031,0.569444,0.115625,13642
8988,5,0.295833,0.507422,0.588889,0.113281,13643
10211,5,0.300694,0.532422,0.3875,0.0414063,13644
10212,5,0.302778,0.508984,0.594444,0.113281,13644
10553,5,0.3125,0.510156,0.622222,0.114063,13645
11339,5,0.327083,0.509766,0.620833,0.114844,13646
10996,5,0.340278,0.510547,0.627778,0.113281,13647
1036,5,0.363194,0.510156,0.618056,0.114063,13648
1366,5,0.377778,0.511328,0.616667,0.113281,13649
10214,5,0.397917,0.513281,0.620833,0.117188,13650
10546,5,0.414583,0.513672,0.620833,0.116406,13651
11348,5,0.425694,0.513672,0.620833,0.116406,13652
10993,5,0.444444,0.514453,0.630556,0.116406,13653
9781,5,0.4625,0.514844,0.622222,0.117188,13654
9391,5,0.479861,0.516016,0.634722,0.119531,13655
8611,5,0.497917,0.516016,0.629167,0.119531,13656
8991,5,0.517361,0.515625,0.629167,0.11875,13657
2198,5,0.536806,0.516797,0.631944,0.117969,13658
1810,5,0.554861,0.517578,0.623611,0.119531,13659
1004,5,0.574306,0.519141,0.629167,0.119531,13660
1387,5,0.59375,0.519141,0.620833,0.121094,13661
580,5,0.608333,0.519141,0.633333,0.119531,13662
218,5,0.622917,0.520703,0.640278,0.121094,13663
2187,5,0.641667,0.521484,0.625,0.119531,13664
1824,5,0.657639,0.521875,0.645833,0.121875,13665
2628,5,0.679861,0.522266,0.629167,0.122656,13666
2959,5,0.684028,0.523438,0.631944,0.123438,13667
9762,5,0.695833,0.523047,0.608333,0.122656,13668
9413,5,0.704167,0.523828,0.591667,0.122656,13669
2169,5,0.711806,0.523438,0.573611,0.120312,13670
1829,5,0.723611,0.524609,0.552778,0.122656,13671
2625,5,0.732639,0.525,0.531944,0.120312,13672
2972,5,0.739583,0.525391,0.520833,0.119531,13673
1023,5,0.748611,0.523047,0.502778,0.114844,13674
1380,5,0.75625,0.522656,0.481944,0.114063,13675
582,5,0.766667,0.523047,0.463889,0.113281,13676
206,5,0.770833,0.525391,0.447222,0.113281,13677
10191,5,0.78125,0.525,0.426389,0.115625,13678
10575,5,0.788194,0.525,0.409722,0.114063,13679
8949,5,0.797917,0.526563,0.395833,0.115625,13680
8667,5,0.808333,0.526563,0.380556,0.115625,13681
9418,5,0.81875,0.526563,0.359722,0.114063,13682
9739,5,0.826389,0.528125,0.336111,0.1125,13683
11033,5,0.834028,0.529297,0.320833,0.111719,13684
11296,5,0.845139,0.529688,0.301389,0.114063,13685
10527,5,0.853472,0.53125,0.284722,0.114063,13686
10249,5,0.859722,0.53125,0.269444,0.1125,13687
257,5,0.875,0.532031,0.241667,0.115625,13688
528,5,0.88125,0.530859,0.226389,0.114844,13689
11030,5,0.890972,0.531641,0.209722,0.116406,13690
11321,5,0.900694,0.532031,0.195833,0.1125,13691
10498,5,0.909722,0.528516,0.169444,0.107031,13692
10253,5,0.919444,0.527734,0.15,0.103906,13693
8951,5,0.928472,0.528125,0.134722,0.10625,13694
9447,5,0.948611,0.528906,0.102778,0.10625,13696
10870,5,0.450694,0.519922,0.426389,0.107031,23357
730,5,0.290278,0.516406,0.436111,0.104687,23366
853,5,0.231944,0.510547,0.425,0.0976562,23370
1535,5,0.215278,0.5125,0.413889,0.101562,23371
721,5,0.199306,0.511719,0.390278,0.1,23372
77,5,0.1875,0.510156,0.375,0.0984375,23373
1260,5,0.926389,0.529688,0.144444,0.121875,31167
11234,5,0.914583,0.523828,0.170833,0.121094,31168
11099,5,0.904861,0.528516,0.190278,0.124219,31169
467,5,0.89375,0.529297,0.2125,0.125781,31170
332,5,0.884028,0.525391,0.231944,0.127344,31171
1149,5,0.875,0.526172,0.25,0.127344,31172
1234,5,0.860417,0.526172,0.273611,0.128906,31173
2754,5,0.847917,0.523438,0.304167,0.128125,31174
2826,5,0.839583,0.524219,0.315278,0.129688,31175
2020,5,0.829861,0.524219,0.3375,0.129688,31176
1995,5,0.816667,0.522266,0.363889,0.127344,31177
8797,5,0.805556,0.521875,0.383333,0.126563,31178
8809,5,0.795833,0.523828,0.405556,0.127344,31179
10462,5,0.784722,0.519531,0.422222,0.123438,31180
10297,5,0.772222,0.520312,0.45,0.121875,31181
11097,5,0.764583,0.519531,0.465278,0.123438,31182
11248,5,0.75625,0.514844,0.4875,0.123438,31183
9479,5,0.747222,0.516016,0.505556,0.122656,31184
9699,5,0.734722,0.518359,0.513889,0.124219,31185
8901,5,0.724306,0.516406,0.540278,0.129688,31186
8701,5,0.716667,0.519531,0.566667,0.129688,31187
1899,5,0.704861,0.523047,0.590278,0.135156,31188
2111,5,0.698611,0.519141,0.602778,0.136719,31189
9482,5,0.686806,0.519141,0.626389,0.133594,31190
9680,5,0.677083,0.519922,0.645833,0.135156,31191
8921,5,0.663194,0.517969,0.673611,0.140625,31192
8692,5,0.653472,0.517969,0.693056,0.1375,31193
