,class,x,y,w,h,frameNo
1364,5,0.569271,0.448148,0.171875,0.22963,18156
1316,5,0.563021,0.448148,0.184375,0.22963,18157
1054,5,0.560938,0.447222,0.188542,0.231481,18158
1098,5,0.559896,0.448148,0.192708,0.22963,18159
698,5,0.558854,0.448148,0.194792,0.233333,18160
655,5,0.554688,0.446296,0.205208,0.233333,18161
784,5,0.551042,0.44537,0.208333,0.231481,18162
829,5,0.547396,0.444444,0.215625,0.233333,18163
1049,5,0.545833,0.446296,0.21875,0.22963,18164
1102,5,0.541667,0.443519,0.227083,0.227778,18165
965,5,0.539062,0.44537,0.236458,0.227778,18166
912,5,0.538021,0.443519,0.240625,0.227778,18167
1179,5,0.536458,0.441667,0.24375,0.227778,18168
1240,5,0.532812,0.441667,0.253125,0.231481,18169
1047,5,0.530729,0.442593,0.259375,0.22963,18170
1104,5,0.527083,0.441667,0.264583,0.227778,18171
961,5,0.523438,0.441667,0.269792,0.227778,18172
916,5,0.51875,0.441667,0.277083,0.227778,18173
700,5,0.515104,0.442593,0.284375,0.22963,18174
653,5,0.513021,0.442593,0.290625,0.22963,18175
788,5,0.510417,0.443519,0.295833,0.235185,18176
824,5,0.507812,0.443519,0.303125,0.231481,18177
1634,5,0.505208,0.443519,0.30625,0.238889,18178
1579,5,0.504687,0.443519,0.307292,0.235185,18179
1322,5,0.503646,0.442593,0.309375,0.233333,18180
1360,5,0.502083,0.440741,0.310417,0.22963,18181
1224,5,0.501562,0.442593,0.313542,0.22963,18182
1194,5,0.502083,0.443519,0.314583,0.224074,18183
1496,5,0.502083,0.441667,0.3125,0.224074,18184
1449,5,0.502604,0.441667,0.313542,0.22037,18185
1585,5,0.502083,0.443519,0.3125,0.227778,18186
1628,5,0.502083,0.444444,0.314583,0.22963,18187
822,5,0.502083,0.44537,0.316667,0.227778,18188
791,5,0.502083,0.444444,0.314583,0.22963,18189
1493,5,0.501042,0.442593,0.310417,0.225926,18190
1455,5,0.502604,0.439815,0.311458,0.224074,18191
1581,5,0.501562,0.440741,0.309375,0.222222,18192
1629,5,0.501562,0.441667,0.309375,0.227778,18193
1325,5,0.499479,0.442593,0.309375,0.22963,18194
1355,5,0.5,0.440741,0.310417,0.233333,18195
1227,5,0.498437,0.441667,0.309375,0.235185,18196
1193,5,0.496354,0.442593,0.305208,0.22963,18197
925,5,0.492708,0.439815,0.297917,0.227778,18198
951,5,0.489062,0.439815,0.290625,0.227778,18199
751,5,0.486979,0.439815,0.284375,0.227778,18200
864,5,0.483854,0.438889,0.278125,0.225926,18201
738,5,0.479688,0.438889,0.269792,0.222222,18202
615,5,0.476562,0.438889,0.263542,0.222222,18203
1003,5,0.472917,0.440741,0.260417,0.222222,18204
875,5,0.470313,0.440741,0.255208,0.222222,18205
1007,5,0.466667,0.441667,0.25,0.224074,18206
1143,5,0.464583,0.440741,0.245833,0.222222,18207
1403,5,0.461458,0.442593,0.239583,0.222222,18208
1279,5,0.459375,0.443519,0.23125,0.224074,18209
1005,5,0.45625,0.443519,0.225,0.224074,18210
873,5,0.451042,0.442593,0.216667,0.225926,18211
1009,5,0.448438,0.444444,0.211458,0.222222,18212
1141,5,0.446875,0.442593,0.20625,0.218519,18213
750,5,0.443229,0.441667,0.201042,0.216667,18214
865,5,0.442187,0.442593,0.188542,0.214815,18215
735,5,0.4375,0.438889,0.185417,0.214815,18216
618,5,0.434375,0.438889,0.18125,0.222222,18217
1414,5,0.432292,0.441667,0.177083,0.224074,18218
1532,5,0.428125,0.441667,0.166667,0.22037,18219
1396,5,0.426042,0.440741,0.1625,0.218519,18220
1286,5,0.423438,0.441667,0.159375,0.216667,18221
1151,5,0.420312,0.442593,0.155208,0.214815,18222
1269,5,0.416667,0.441667,0.147917,0.212963,18223
1409,5,0.414062,0.441667,0.142708,0.212963,18224
1537,5,0.411979,0.441667,0.138542,0.216667,18225
1671,5,0.409375,0.440741,0.133333,0.214815,18226
1541,5,0.406771,0.435185,0.126042,0.218519,18227
744,5,0.403646,0.418519,0.119792,0.244444,18228
871,5,0.400521,0.434259,0.113542,0.22037,18229
1406,5,0.397396,0.434259,0.109375,0.22037,18230
1540,5,0.395312,0.436111,0.103125,0.216667,18231
1670,5,0.392188,0.435185,0.0989583,0.214815,18232
1542,5,0.388542,0.433333,0.0916667,0.214815,18233
1398,5,0.385417,0.433333,0.0854167,0.214815,18234
1284,5,0.382812,0.433333,0.0802083,0.214815,18235
1152,5,0.379687,0.433333,0.0739583,0.214815,18236
1268,5,0.377083,0.432407,0.06875,0.212963,18237
998,5,0.374479,0.433333,0.0635417,0.218519,18238
880,5,0.372917,0.431481,0.0604167,0.218519,18239
1820,5,0.369271,0.431481,0.0510417,0.214815,18240
1682,5,0.365104,0.433333,0.0447917,0.211111,18241
1841,5,0.361458,0.432407,0.0395833,0.212963,18242
1980,5,0.358854,0.426852,0.034375,0.209259,18243
2158,5,0.357292,0.423148,0.0291667,0.201852,18244
2312,5,0.354167,0.427778,0.0229167,0.2,18245
2133,5,0.366667,0.411111,0.0458333,0.166667,20054
2022,5,0.369792,0.410185,0.0541667,0.164815,20055
2183,5,0.372396,0.410185,0.0614583,0.164815,20056
2287,5,0.374479,0.407407,0.065625,0.174074,20057
272,5,0.379687,0.412037,0.0697917,0.175926,20058
175,5,0.381771,0.410185,0.078125,0.183333,20059
316,5,0.384375,0.406481,0.0854167,0.194444,20060
429,5,0.388021,0.407407,0.0927083,0.192593,20061
592,5,0.390625,0.408333,0.0979167,0.190741,20062
471,5,0.39375,0.409259,0.104167,0.192593,20063
278,5,0.396875,0.403704,0.108333,0.2,20064
169,5,0.400521,0.401852,0.113542,0.2,20065
12,5,0.403646,0.400926,0.117708,0.201852,20066
137,5,0.407292,0.405556,0.127083,0.2,20067
2143,5,0.410417,0.405556,0.133333,0.196296,20068
2011,5,0.414583,0.405556,0.141667,0.196296,20069
280,5,0.416667,0.406481,0.14375,0.194444,20070
165,5,0.421875,0.40463,0.154167,0.198148,20071
18,5,0.423958,0.412037,0.160417,0.187037,20072
134,5,0.427604,0.412037,0.167708,0.187037,20073
314,5,0.430208,0.412037,0.172917,0.194444,20074
433,5,0.433854,0.410185,0.180208,0.194444,20075
586,5,0.438021,0.407407,0.188542,0.203704,20076
473,5,0.440625,0.408333,0.195833,0.194444,20077
1855,5,0.44375,0.412037,0.2,0.198148,20078
1969,5,0.445833,0.411111,0.204167,0.192593,20079
2309,5,0.450521,0.408333,0.209375,0.198148,20080
2164,5,0.454167,0.414815,0.21875,0.2,20081
2004,5,0.457292,0.414815,0.222917,0.203704,20082
2145,5,0.460417,0.413889,0.23125,0.209259,20083
1672,5,0.463542,0.412963,0.2375,0.207407,20084
1825,5,0.468229,0.417593,0.244792,0.205556,20085
1986,5,0.470833,0.416667,0.254167,0.211111,20086
1838,5,0.473958,0.421296,0.260417,0.216667,20087
455,5,0.477604,0.421296,0.265625,0.22037,20088
604,5,0.481771,0.42037,0.269792,0.218519,20089
1680,5,0.486458,0.419444,0.277083,0.216667,20090
1824,5,0.490625,0.415741,0.285417,0.216667,20091
1987,5,0.492708,0.42037,0.29375,0.211111,20092
1829,5,0.496354,0.417593,0.298958,0.212963,20093
2301,5,0.498437,0.421296,0.305208,0.22037,20094
2165,5,0.498437,0.421296,0.307292,0.212963,20095
2003,5,0.497396,0.421296,0.307292,0.212963,20096
2153,5,0.499479,0.419444,0.307292,0.209259,20097
140,5,0.502083,0.418519,0.308333,0.211111,20098
6,5,0.502083,0.417593,0.310417,0.22037,20099
376,5,0.501562,0.419444,0.311458,0.22037,20101
531,5,0.501562,0.422222,0.311458,0.218519,20102
530,5,0.503646,0.42037,0.305208,0.218519,20103
231,5,0.508333,0.42037,0.295833,0.211111,20104
216,5,0.509375,0.42037,0.29375,0.214815,20105
70,5,0.513021,0.417593,0.286458,0.212963,20106
81,5,0.518229,0.415741,0.273958,0.209259,20107
2084,5,0.521354,0.417593,0.267708,0.212963,20108
2066,5,0.524479,0.418519,0.263542,0.207407,20109
230,5,0.527604,0.418519,0.259375,0.207407,20110
218,5,0.532292,0.419444,0.25,0.205556,20111
68,5,0.535417,0.42037,0.241667,0.203704,20112
83,5,0.538542,0.421296,0.233333,0.205556,20113
372,5,0.542708,0.423148,0.227083,0.201852,20114
373,5,0.546875,0.423148,0.21875,0.205556,20115
533,5,0.549479,0.423148,0.213542,0.201852,20116
528,5,0.550521,0.425,0.209375,0.194444,20117
1910,5,0.554688,0.423148,0.198958,0.190741,20118
1914,5,0.557813,0.424074,0.192708,0.196296,20119
2082,5,0.560417,0.425926,0.1875,0.192593,20120
2070,5,0.564062,0.425926,0.182292,0.196296,20121
2233,5,0.567187,0.428704,0.173958,0.198148,20122
2237,5,0.571354,0.427778,0.167708,0.196296,20123
1902,5,0.574479,0.426852,0.161458,0.198148,20124
1922,5,0.577083,0.42963,0.15625,0.203704,20125
1755,5,0.580729,0.432407,0.148958,0.209259,20126
1747,5,0.584375,0.428704,0.141667,0.201852,20127
367,5,0.588542,0.435185,0.1375,0.214815,20128
378,5,0.591667,0.428704,0.129167,0.201852,20129
1908,5,0.596354,0.426852,0.121875,0.198148,20130
1918,5,0.598437,0.427778,0.113542,0.196296,20131
1757,5,0.603646,0.431481,0.109375,0.2,20132
1743,5,0.605208,0.425926,0.102083,0.196296,20133
2076,5,0.608333,0.423148,0.0958333,0.190741,20134
2075,5,0.611979,0.423148,0.090625,0.187037,20135
2230,5,0.615104,0.419444,0.084375,0.17963,20136
2242,5,0.619792,0.416667,0.0729167,0.177778,20137
226,5,0.622917,0.419444,0.0666667,0.183333,20138
220,5,0.627083,0.419444,0.0604167,0.183333,20139
1608,5,0.630208,0.419444,0.0541667,0.183333,20140
1605,5,0.632812,0.42037,0.0489583,0.188889,20141
1777,5,0.411979,0.475,0.142708,0.135185,28750
1724,5,0.408854,0.475,0.132292,0.138889,28751
1886,5,0.403125,0.475,0.11875,0.138889,28752
1935,5,0.398438,0.475926,0.111458,0.137037,28753
2206,5,0.395833,0.475,0.102083,0.138889,28754
54,5,0.382812,0.407407,0.0864583,0.192593,30881
240,5,0.390104,0.409259,0.0947917,0.188889,30883
504,5,0.394792,0.412963,0.1,0.188889,30884
560,5,0.395833,0.410185,0.10625,0.190741,30885
397,5,0.399479,0.403704,0.111458,0.203704,30886
347,5,0.402604,0.401852,0.115625,0.203704,30887
1721,5,0.40625,0.402778,0.122917,0.201852,30888
1779,5,0.408854,0.403704,0.130208,0.2,30889
505,5,0.411979,0.405556,0.136458,0.2,30890
554,5,0.415104,0.40463,0.142708,0.198148,30891
405,5,0.418229,0.40463,0.148958,0.198148,30892
343,5,0.421875,0.405556,0.15625,0.2,30893
94,5,0.423958,0.406481,0.1625,0.201852,30894
60,5,0.427083,0.407407,0.166667,0.2,30895
204,5,0.430729,0.410185,0.173958,0.198148,30896
242,5,0.433333,0.409259,0.183333,0.2,30897
2258,5,0.436458,0.408333,0.189583,0.201852,30898
2216,5,0.440104,0.410185,0.194792,0.198148,30899
1866,5,0.44375,0.410185,0.2,0.201852,30900
1958,5,0.445312,0.411111,0.207292,0.203704,30901
1794,5,0.448958,0.413889,0.2125,0.205556,30902
1705,5,0.451562,0.412037,0.219792,0.201852,30903
2127,5,0.454688,0.412963,0.226042,0.207407,30904
2027,5,0.458333,0.414815,0.23125,0.207407,30905
2188,5,0.4625,0.415741,0.235417,0.209259,30906
2284,5,0.466146,0.416667,0.242708,0.211111,30907
267,5,0.470313,0.417593,0.248958,0.212963,30908
180,5,0.472396,0.417593,0.255208,0.212963,30909
2124,5,0.476042,0.42037,0.260417,0.218519,30910
2029,5,0.479167,0.42037,0.264583,0.222222,30911
2187,5,0.482812,0.422222,0.271875,0.222222,30912
2286,5,0.486979,0.423148,0.278125,0.22037,30913
1869,5,0.489583,0.417593,0.285417,0.224074,30914
1955,5,0.492188,0.417593,0.290625,0.22037,30915
1796,5,0.496875,0.416667,0.3,0.218519,30916
1704,5,0.497396,0.419444,0.303125,0.22037,30917
326,5,0.501042,0.421296,0.308333,0.22037,30918
420,5,0.498958,0.423148,0.30625,0.22037,30919
264,5,0.498958,0.423148,0.30625,0.22037,30920
182,5,0.501042,0.423148,0.310417,0.22037,30921
30,5,0.502083,0.422222,0.308333,0.222222,30922
120,5,0.502083,0.423148,0.308333,0.22037,30923
321,5,0.501562,0.421296,0.307292,0.216667,30924
426,5,0.501562,0.42037,0.309375,0.218519,30925
579,5,0.502604,0.42037,0.305208,0.218519,30926
480,5,0.504167,0.423148,0.304167,0.216667,30927
1861,5,0.508333,0.42037,0.295833,0.218519,30928
1960,5,0.510938,0.421296,0.290625,0.216667,30929
322,5,0.513021,0.422222,0.286458,0.214815,30930
422,5,0.517708,0.42037,0.275,0.211111,30931
584,5,0.519271,0.419444,0.267708,0.209259,30932
478,5,0.523958,0.419444,0.2625,0.209259,30933
263,5,0.526563,0.42037,0.261458,0.203704,30934
185,5,0.530208,0.421296,0.254167,0.205556,30935
26,5,0.532812,0.422222,0.246875,0.207407,30936
121,5,0.534375,0.423148,0.239583,0.209259,30937
2122,5,0.539062,0.422222,0.234375,0.207407,30938
2032,5,0.543229,0.424074,0.226042,0.203704,30939
715,5,0.546354,0.425,0.217708,0.205556,30940
636,5,0.548437,0.425,0.211458,0.201852,30941
769,5,0.551042,0.425926,0.20625,0.2,30942
847,5,0.554167,0.427778,0.2,0.196296,30943
1033,5,0.557292,0.430556,0.19375,0.201852,30944
1118,5,0.559896,0.431481,0.188542,0.2,30945
982,5,0.561979,0.431481,0.184375,0.2,30946
895,5,0.565625,0.430556,0.177083,0.198148,30947
1162,5,0.570312,0.431481,0.169792,0.2,30948
1257,5,0.572917,0.433333,0.1625,0.207407,30949
1028,5,0.575521,0.430556,0.159375,0.201852,30950
1119,5,0.578646,0.433333,0.153125,0.203704,30951
981,5,0.581771,0.431481,0.146875,0.2,30952
900,5,0.584896,0.431481,0.140625,0.2,30953
720,5,0.588021,0.430556,0.136458,0.201852,30954
635,5,0.591667,0.430556,0.127083,0.198148,30955
770,5,0.596354,0.430556,0.119792,0.198148,30956
842,5,0.598958,0.42963,0.114583,0.196296,30957
1646,5,0.601562,0.431481,0.109375,0.2,30958
1567,5,0.604167,0.426852,0.104167,0.194444,30959
1169,5,0.607292,0.423148,0.0979167,0.187037,30960
1247,5,0.610937,0.423148,0.0927083,0.187037,30961
1383,5,0.613542,0.421296,0.0854167,0.183333,30962
1300,5,0.616667,0.419444,0.0791667,0.183333,30963
1563,5,0.623958,0.421296,0.0666667,0.187037,30965
1427,5,0.627083,0.422222,0.0625,0.188889,30966
796,5,0.621875,0.405556,0.0708333,0.307407,31916
816,5,0.616146,0.408333,0.0822917,0.305556,31917
1622,5,0.611979,0.406481,0.0864583,0.301852,31918
1592,5,0.60625,0.407407,0.102083,0.3,31919
1198,5,0.598958,0.408333,0.116667,0.305556,31920
1221,5,0.595312,0.411111,0.123958,0.303704,31921
1351,5,0.582292,0.409259,0.147917,0.303704,31922
