,class,x,y,w,h,frameNo
10278,5,0.452778,0.448828,0.569444,0.127344,20228
10384,5,0.466667,0.438672,0.513889,0.130469,20229
308,5,0.448611,0.449219,0.480556,0.125,20230
423,5,0.452778,0.444922,0.472222,0.124219,20231
1180,5,0.452778,0.447266,0.438889,0.121094,20232
1026,5,0.445833,0.448828,0.402778,0.121094,20233
2621,5,0.4375,0.445703,0.358333,0.121094,20234
2449,5,0.420139,0.437891,0.379167,0.127344,20235
1729,5,0.409028,0.442187,0.3375,0.120312,20236
8255,5,0.38125,0.446875,0.306944,0.117188,20238
4491,5,0.354167,0.445312,0.305556,0.1125,20240
1492,5,0.38125,0.421094,0.373611,0.10625,20430
2161,5,0.429167,0.422266,0.286111,0.102344,20431
2892,5,0.422222,0.425,0.325,0.104687,20432
2189,5,0.41875,0.423438,0.354167,0.104687,20433
1436,5,0.440972,0.428125,0.331944,0.10625,20434
774,5,0.404167,0.425,0.419444,0.104687,20435
29,5,0.40625,0.423828,0.434722,0.102344,20436
702,5,0.394444,0.426953,0.486111,0.103906,20437
9934,5,0.45,0.426172,0.461111,0.105469,20438
9264,5,0.468056,0.419531,0.408333,0.10625,20439
3459,5,0.484722,0.427734,0.425,0.108594,20440
2945,5,0.483333,0.427734,0.397222,0.105469,20441
3550,5,0.478472,0.428125,0.431944,0.107813,20442
4091,5,0.478472,0.428125,0.4625,0.104687,20443
4772,5,0.45,0.424219,0.538889,0.103125,20444
5332,5,0.501389,0.43125,0.469444,0.10625,20445
4727,5,0.510417,0.424609,0.476389,0.105469,20446
4124,5,0.501389,0.425781,0.508333,0.103125,20447
5367,5,0.509028,0.430078,0.518056,0.107031,20448
5977,5,0.504861,0.423438,0.545833,0.107813,20449
4744,5,0.521528,0.422266,0.565278,0.119531,20450
5342,5,0.536111,0.428906,0.522222,0.104687,20451
4719,5,0.545139,0.426172,0.556944,0.111719,20452
4145,5,0.549306,0.426172,0.554167,0.103906,20453
3486,5,0.557639,0.419922,0.573611,0.119531,20454
2934,5,0.565972,0.424219,0.568056,0.103125,20455
3557,5,0.574306,0.423828,0.593056,0.110156,20456
4071,5,0.572222,0.430078,0.580556,0.108594,20457
7766,5,0.586111,0.424609,0.636111,0.114844,20458
7230,5,0.605556,0.429297,0.583333,0.107031,20459
5396,5,0.618056,0.422656,0.605556,0.120312,20460
5937,5,0.6375,0.421875,0.622222,0.120312,20461
6562,5,0.640278,0.429297,0.6,0.110156,20462
6015,5,0.660417,0.421875,0.6375,0.125,20463
7790,5,0.659722,0.431641,0.616667,0.110156,20464
6590,5,0.690972,0.430859,0.6125,0.110156,20466
7176,5,0.695833,0.423047,0.605556,0.125781,20467
3510,5,0.710417,0.430859,0.579167,0.113281,20468
2910,5,0.719444,0.429688,0.561111,0.115625,20469
7794,5,0.718056,0.421484,0.563889,0.124219,20470
7192,5,0.717361,0.430078,0.5625,0.116406,20471
6608,5,0.726389,0.423047,0.547222,0.125781,20472
7168,5,0.7375,0.431641,0.525,0.110156,20473
5951,5,0.747222,0.432422,0.505556,0.111719,20475
6022,5,0.754861,0.430859,0.490278,0.113281,20477
5310,5,0.765278,0.430078,0.466667,0.107031,20479
4044,5,0.76875,0.429297,0.459722,0.110156,20480
3596,5,0.774306,0.423828,0.445833,0.124219,20481
2983,5,0.779861,0.426172,0.431944,0.121094,20482
3416,5,0.788194,0.427734,0.415278,0.111719,20483
4169,5,0.794444,0.428906,0.402778,0.114063,20484
4678,5,0.800694,0.428125,0.390278,0.11875,20485
5288,5,0.803472,0.431641,0.384722,0.110156,20486
4808,5,0.813194,0.428516,0.368056,0.119531,20487
6040,5,0.817361,0.436328,0.365278,0.111719,20488
6528,5,0.824306,0.425,0.343056,0.121875,20489
4186,5,0.829861,0.433594,0.3375,0.110937,20490
4673,5,0.8375,0.428516,0.313889,0.116406,20491
5292,5,0.834722,0.432031,0.322222,0.109375,20492
4794,5,0.85,0.430469,0.286111,0.117188,20493
4026,5,0.851389,0.438672,0.288889,0.108594,20494
3602,5,0.863889,0.432813,0.261111,0.109375,20495
2979,5,0.870833,0.429297,0.252778,0.113281,20496
3432,5,0.879167,0.429688,0.238889,0.1125,20497
7113,5,0.881944,0.435156,0.230556,0.107813,20498
6657,5,0.892361,0.430078,0.2125,0.116406,20499
5615,5,0.897917,0.434766,0.198611,0.111719,20500
5734,5,0.904167,0.430469,0.186111,0.110937,20501
6240,5,0.916667,0.430078,0.155556,0.110156,20503
7579,5,0.924306,0.433594,0.140278,0.1125,20504
6828,5,0.933333,0.437109,0.127778,0.111719,20506
6961,5,0.940972,0.430078,0.109722,0.110156,20507
9139,5,0.822917,0.468359,0.318056,0.0726563,23861
4461,5,0.938889,0.455078,0.122222,0.122656,25489
6315,5,0.922222,0.450391,0.155556,0.135156,25491
5652,5,0.913194,0.44375,0.173611,0.135937,25493
6898,5,0.903472,0.448047,0.190278,0.136719,25494
6880,5,0.897917,0.439844,0.204167,0.142188,25495
7500,5,0.891667,0.440234,0.216667,0.139844,25496
7505,5,0.877778,0.445312,0.238889,0.139062,25497
3820,5,0.880556,0.437891,0.238889,0.147656,25498
3808,5,0.860417,0.446094,0.270833,0.1375,25499
4791,5,0.858333,0.439063,0.277778,0.14375,25500
5307,5,0.84375,0.442969,0.304167,0.139062,25501
4699,5,0.836111,0.445703,0.316667,0.132031,25502
4150,5,0.834028,0.440625,0.323611,0.140625,25503
3492,5,0.819444,0.447266,0.361111,0.132031,25504
2916,5,0.818056,0.436719,0.355556,0.142188,25505
3525,5,0.809028,0.442578,0.381944,0.130469,25506
4112,5,0.797917,0.439063,0.401389,0.1375,25507
7799,5,0.786806,0.444531,0.420833,0.134375,25508
7186,5,0.786806,0.440234,0.420833,0.138281,25509
3512,5,0.773611,0.441797,0.452778,0.132031,25510
