,class,x,y,w,h,frameNo
8689,5,0.85,0.516797,0.286111,0.135156,16508
8246,5,0.847222,0.511719,0.3,0.129688,16509
1147,5,0.84375,0.509766,0.301389,0.138281,16510
711,5,0.834722,0.513672,0.316667,0.132031,16511
98,5,0.829167,0.510938,0.325,0.134375,16512
524,5,0.825,0.510938,0.333333,0.1375,16513
1326,5,0.815972,0.508203,0.354167,0.136719,16514
1746,5,0.811806,0.508203,0.368056,0.138281,16515
2374,5,0.809028,0.511719,0.373611,0.134375,16516
1964,5,0.802083,0.508984,0.381944,0.142969,16517
7654,5,0.797222,0.508984,0.394444,0.141406,16518
8052,5,0.790972,0.508984,0.409722,0.139844,16519
8663,5,0.785417,0.509766,0.423611,0.139844,16520
8277,5,0.78125,0.506641,0.426389,0.141406,16521
8888,5,0.777083,0.508594,0.431944,0.139062,16522
9304,5,0.768056,0.510156,0.458333,0.140625,16523
7635,5,0.766667,0.510156,0.466667,0.142188,16524
8073,5,0.7625,0.508984,0.475,0.139844,16525
7453,5,0.754167,0.510938,0.486111,0.140625,16526
6997,5,0.751389,0.507812,0.497222,0.139062,16527
1314,5,0.742361,0.507031,0.515278,0.140625,16528
1762,5,0.741667,0.508594,0.516667,0.14375,16529
7630,5,0.733333,0.508984,0.522222,0.144531,16530
8083,5,0.732639,0.510156,0.531944,0.146875,16531
7443,5,0.722222,0.508984,0.552778,0.142969,16532
7000,5,0.715972,0.513281,0.565278,0.148438,16533
8669,5,0.7125,0.507422,0.566667,0.144531,16534
8267,5,0.709722,0.509766,0.572222,0.149219,16535
8898,5,0.700694,0.509375,0.593056,0.15,16536
9300,5,0.697222,0.506641,0.6,0.146094,16537
1119,5,0.693056,0.508594,0.6,0.15,16538
735,5,0.689583,0.509375,0.604167,0.146875,16539
6816,5,0.68125,0.505859,0.629167,0.149219,16540
6452,5,0.668056,0.505078,0.644444,0.149219,16541
5915,5,0.666667,0.505859,0.655556,0.146094,16542
6256,5,0.657639,0.504297,0.679167,0.150781,16543
4776,5,0.656944,0.506641,0.680556,0.146094,16544
5168,5,0.654167,0.504687,0.677778,0.145313,16545
5727,5,0.652083,0.507812,0.6875,0.148438,16546
5339,5,0.645833,0.507031,0.705556,0.15,16547
4221,5,0.634722,0.504297,0.708333,0.150781,16548
4613,5,0.625694,0.504687,0.7375,0.153125,16549
4784,5,0.607639,0.503906,0.7125,0.145313,16550
5166,5,0.604861,0.507031,0.706944,0.148438,16551
5733,5,0.592361,0.503906,0.701389,0.145313,16552
5325,5,0.569444,0.499219,0.780556,0.140625,16553
6806,5,0.563889,0.499609,0.730556,0.142969,16554
6453,5,0.549306,0.498437,0.751389,0.146875,16555
5910,5,0.539583,0.498828,0.729167,0.147656,16556
6270,5,0.529167,0.500781,0.702778,0.142188,16557
2936,5,0.50625,0.501172,0.723611,0.144531,16558
2577,5,0.500694,0.498828,0.7125,0.139844,16559
4235,5,0.490972,0.498047,0.715278,0.142969,16560
4608,5,0.475,0.499219,0.719444,0.135937,16561
4032,5,0.469444,0.496484,0.719444,0.144531,16562
3690,5,0.454167,0.499219,0.713889,0.140625,16563
2952,5,0.448611,0.494531,0.683333,0.139062,16564
2561,5,0.438194,0.494922,0.6875,0.141406,16565
3127,5,0.424306,0.495703,0.706944,0.141406,16566
3487,5,0.420833,0.498437,0.675,0.139062,16567
6820,5,0.420139,0.494141,0.659722,0.139844,16568
6441,5,0.388194,0.496875,0.715278,0.128125,16569
2946,5,0.383333,0.49375,0.716667,0.135937,16570
2575,5,0.368056,0.494922,0.705556,0.133594,16571
3122,5,0.354861,0.492578,0.698611,0.133594,16572
3488,5,0.341667,0.492188,0.683333,0.134375,16573
4242,5,0.3375,0.492969,0.663889,0.134375,16574
4594,5,0.333333,0.491797,0.661111,0.133594,16575
4039,5,0.328472,0.489453,0.656944,0.136719,16576
3689,5,0.327778,0.490625,0.638889,0.132812,16577
4788,5,0.322917,0.491016,0.623611,0.136719,16578
5153,5,0.313194,0.487109,0.618056,0.138281,16579
6224,5,0.311111,0.489844,0.605556,0.135937,16580
5947,5,0.300694,0.489062,0.593056,0.134375,16581
6488,5,0.295833,0.489844,0.583333,0.134375,16582
6780,5,0.292361,0.486719,0.573611,0.1375,16583
5367,5,0.286111,0.490625,0.572222,0.140625,16584
5697,5,0.282639,0.487109,0.556944,0.139844,16585
5141,5,0.277083,0.488672,0.551389,0.135156,16586
4802,5,0.274306,0.486719,0.5375,0.140625,16587
4029,5,0.260417,0.487109,0.5125,0.133594,16589
5358,5,0.253472,0.483203,0.498611,0.139844,16590
5700,5,0.25,0.483984,0.488889,0.136719,16591
5134,5,0.24375,0.483594,0.481944,0.132812,16592
4818,5,0.238194,0.483203,0.470833,0.133594,16593
6233,5,0.230556,0.486328,0.461111,0.132031,16594
5945,5,0.225,0.484766,0.45,0.130469,16595
6496,5,0.223611,0.485156,0.444444,0.13125,16596
6764,5,0.215278,0.483203,0.427778,0.138281,16597
3435,5,0.214583,0.483594,0.429167,0.134375,16598
3182,5,0.203472,0.483984,0.404167,0.135156,16599
3919,5,0.200694,0.481641,0.398611,0.135156,16600
3802,5,0.191667,0.484375,0.375,0.129688,16601
4379,5,0.189583,0.486719,0.379167,0.134375,16602
4470,5,0.185417,0.485547,0.356944,0.133594,16603
3242,5,0.178472,0.483594,0.348611,0.135937,16604
3379,5,0.172222,0.480859,0.336111,0.136719,16605
2819,5,0.168056,0.485156,0.325,0.1375,16606
2695,5,0.163194,0.482812,0.326389,0.134375,16607
6028,5,0.161111,0.480078,0.313889,0.136719,16608
6149,5,0.152083,0.482422,0.295833,0.132031,16609
3361,5,0.138889,0.480469,0.272222,0.132812,16611
2839,5,0.134722,0.483984,0.269444,0.127344,16612
2691,5,0.129167,0.480078,0.255556,0.125781,16613
3913,5,0.122917,0.480078,0.245833,0.125781,16614
3822,5,0.117361,0.481641,0.229167,0.121094,16615
4360,5,0.113889,0.480469,0.219444,0.120312,16616
4471,5,0.10625,0.477734,0.206944,0.121094,16617
6035,5,0.0895833,0.480469,0.176389,0.117188,16620
6128,5,0.0861111,0.478125,0.169444,0.120312,16621
6667,5,0.0798611,0.479297,0.156944,0.116406,16622
7569,5,0.100694,0.461328,0.201389,0.107031,17410
7508,5,0.111806,0.464063,0.223611,0.10625,17412
