,class,x,y,w,h,frameNo
1865,5,0.343056,0.365625,0.380556,0.096875,8687
1450,5,0.344444,0.365625,0.35,0.096875,8688
1443,5,0.343056,0.364062,0.336111,0.096875,8689
1657,5,0.284722,0.365625,0.419444,0.1,8690
2275,5,0.265278,0.366406,0.352778,0.0984375,8694
2318,5,0.941667,0.357031,0.116667,0.154687,10344
2243,5,0.931944,0.357812,0.136111,0.165625,10345
2010,5,0.925,0.357031,0.15,0.157813,10346
2111,5,0.919444,0.357031,0.155556,0.157813,10347
886,5,0.911111,0.357031,0.172222,0.157813,10348
806,5,0.902778,0.357031,0.188889,0.157813,10349
2322,5,0.897222,0.357031,0.2,0.157813,10350
2228,5,0.888889,0.35625,0.211111,0.1625,10351
2022,5,0.881944,0.357031,0.230556,0.157813,10352
2110,5,0.875,0.357031,0.238889,0.157813,10353
1598,5,0.868056,0.35625,0.252778,0.15625,10354
1716,5,0.8625,0.35625,0.269444,0.15625,10355
1911,5,0.855556,0.355469,0.283333,0.157813,10356
1805,5,0.848611,0.35625,0.297222,0.15625,10357
1399,5,0.840278,0.35625,0.302778,0.15625,10358
1500,5,0.834722,0.355469,0.319444,0.154687,10359
888,5,0.830556,0.355469,0.333333,0.154687,10360
794,5,0.825,0.35625,0.344444,0.153125,10361
994,5,0.818056,0.355469,0.358333,0.151562,10362
1102,5,0.811111,0.355469,0.372222,0.151562,10363
1414,5,0.802778,0.354688,0.388889,0.153125,10364
1485,5,0.798611,0.355469,0.402778,0.151562,10365
1285,5,0.790278,0.355469,0.413889,0.151562,10366
1201,5,0.783333,0.354688,0.427778,0.153125,10367
1613,5,0.775,0.355469,0.45,0.157813,10368
1697,5,0.769444,0.355469,0.455556,0.151562,10369
1402,5,0.766667,0.355469,0.466667,0.154687,10370
1487,5,0.761111,0.357031,0.477778,0.157813,10371
1281,5,0.758333,0.35625,0.483333,0.15625,10372
1214,5,0.75,0.355469,0.5,0.157813,10373
900,5,0.744444,0.355469,0.511111,0.157813,10374
792,5,0.7375,0.35625,0.525,0.15625,10375
998,5,0.733333,0.355469,0.533333,0.154687,10376
1089,5,0.726389,0.35625,0.547222,0.159375,10377
2334,5,0.720833,0.35625,0.558333,0.159375,10378
2225,5,0.713889,0.357031,0.572222,0.157813,10379
1826,5,0.708333,0.355469,0.583333,0.160938,10380
1900,5,0.702778,0.354688,0.594444,0.159375,10381
1682,5,0.7,0.354688,0.6,0.159375,10382
1623,5,0.694444,0.353906,0.611111,0.160938,10383
2088,5,0.690278,0.354688,0.619444,0.159375,10384
2037,5,0.681944,0.353906,0.636111,0.160938,10385
2261,5,0.676389,0.353906,0.647222,0.160938,10386
2298,5,0.669444,0.354688,0.661111,0.159375,10387
1060,5,0.666667,0.353906,0.666667,0.157813,10388
1030,5,0.666667,0.353125,0.666667,0.159375,10389
